COMB Title,NumberOfConsoles,GCN,XBX,PS2,Brand,License,Publisher,Developer,NPD Super Genre,NPD Sub Genre,Launch,Launch Year,Launch Month,ESRB,Online,Vivendi,Peer group,Violent genre
IKARUGA,1,1,0,0,,,ATARI,TREASURE,ARCADE,CLASSIC ARCADE,01-Apr-03,2003,4,E,NO,No,No,Non violent
INDIANA JONES & THE EMPEROR'S TO,2,0,1,1,INDIANA JONES,OTHER,LUCASARTS,THE COLLECTIVE,ACTION,GENERAL ACTION,01-Feb-03,2003,2,T,NO,No,Yes,Violent
INDYCAR SERIES,2,0,1,1,INDY,INDY 500,CODEMASTERS,BRAIN IN A JAR,RACING,SPORTS ORIENTED RACING,01-May-03,2003,5,E,NO,No,No,Non violent
INDYCAR SERIES 2005,1,0,1,0,INDY,INDY 500,CODEMASTERS,CODEMASTERS,RACING,SPORTS ORIENTED RACING,01-Jun-04,2004,6,E,YES,No,No,Non violent
I-NINJA,3,1,1,1,,,NAMCO,ARGONAUT SOFTWARE,ACTION,PLATFORM/SCROLLING CHARACTER,01-Nov-03,2003,11,T,NO,No,No,Violent
INTELLIVISION LIVES,3,1,1,1,,,CRAVE ,REALTIME ASSOCIATES,ARCADE,CLASSIC ARCADE,01-Nov-03,2003,1,E,NO,No,No,Non violent
INUYASHA: SECRET,1,0,0,1,INUYASHA,OTHER,BANDAI ,BANDAI,RPG,RPG,01-Nov-04,2004,11,T,NO,No,No,Non violent
ISLAND XTREME STUNTS,1,0,0,1,,LEGO,ELECTRONIC ARTS,SILICON DREAMS STUDIO,RACING,ACTION ORIENTED RACING,01-Nov-02,2002,11,E,NO,No,Yes,Non violent
J.MCGRATH SUPERCROSS,1,1,0,0,J. MCGRATH SUPERCROSS,PRO RACING ALL OTHER,ACCLAIM  ,ACCLAIM STUDIOS,RACING,SPORTS ORIENTED RACING,01-Feb-02,2002,2,E,NO,No,No,Non violent
J.MCGRTH SPRCRSS WRLD,1,0,0,1,J. MCGRATH SUPERCROSS,,ACCLAIM  ,ACCLAIM STUDIOS,RACING,SPORTS ORIENTED RACING,01-Nov-01,2001,11,E,NO,No,No,Non violent
JADE COCOON 2,1,0,0,1,JADE COCOON,,UBISOFT,GENKI,RPG,RPG,01-Dec-01,2001,12,T,NO,No,Yes,Non violent
JAK 3,1,0,0,1,JAK,,SONY ,NAUGHTY DOG,ACTION,PLATFORM/SCROLLING CHARACTER,01-Nov-04,2004,11,T,NO,No,Yes,Violent
JAK AND DAXTER:LEGACY,1,0,0,1,JAK,,SONY ,NAUGHTY DOG,ACTION,PLATFORM/SCROLLING CHARACTER,01-Dec-01,2001,12,E,NO,No,Yes,Violent
JAK II,1,0,0,1,JAK,,SONY ,NAUGHTY DOG,ACTION,PLATFORM/SCROLLING CHARACTER,01-Oct-03,2003,10,T,NO,No,Yes,Violent
JAMES CAMERON'S DARK ANGEL,2,0,1,1,,OTHER,VIVENDI UNIVERSAL ,RADICAL ENTERTAINMENT,ACTION,GENERAL ACTION,01-Nov-02,2002,11,T,NO,Vivendi,Yes,Violent
JAMPACK SPRING 2004 T,1,0,0,1,JAMPACK,,SONY ,,OTHER GAMES,BUNDLES/COMPILATIONS,01-Apr-04,2004,4,T,NO,No,Yes,Non violent
JAMPACK SUMMER 2001,1,0,0,1,JAMPACK,,SONY ,SONY COMPUTER ENTERTAINMENT,OTHER GAMES,BUNDLES/COMPILATIONS,01-Jul-01,2001,7,E,NO,No,Yes,Non violent
JAMPACK SUMMER 2002,1,0,0,1,JAMPACK,,SONY ,SONY COMPUTER ENTERTAINMENT,OTHER GAMES,BUNDLES/COMPILATIONS,01-May-02,2002,5,E,NO,No,Yes,Non violent
JAMPACK SUMMER 2003 M,1,0,0,1,JAMPACK,,SONY ,,OTHER GAMES,BUNDLES/COMPILATIONS,01-Apr-03,2003,4,M,NO,No,Yes,Non violent
JAMPACK SUMMER 2003 T,1,0,0,1,JAMPACK,,SONY ,SONY COMPUTER ENTERTAINMENT,OTHER GAMES,BUNDLES/COMPILATIONS,01-Apr-03,2003,4,T,NO,No,Yes,Non violent
JAMPACK VOLUME 11,1,0,0,1,JAMPACK,,SONY ,SONY COMPUTER ENTERTAINMENT,OTHER GAMES,BUNDLES/COMPILATIONS,01-Oct-04,2004,10,,NO,No,Yes,Non violent
JAMPACK WINTER 2001,1,0,0,1,JAMPACK,,SONY ,SONY COMPUTER ENTERTAINMENT,OTHER GAMES,BUNDLES/COMPILATIONS,01-Nov-01,2001,11,E,NO,No,Yes,Non violent
JAMPACK WINTER 2002 E,1,0,0,1,JAMPACK,,SONY ,SONY COMPUTER ENTERTAINMENT,OTHER GAMES,BUNDLES/COMPILATIONS,01-Nov-02,2002,11,E,NO,No,Yes,Non violent
JAMPACK WINTER 2002 M,1,0,0,1,JAMPACK,,SONY ,,OTHER GAMES,BUNDLES/COMPILATIONS,01-Oct-02,2002,10,M,NO,No,Yes,Non violent
JAMPACK WINTER 2003 M,1,0,0,1,JAMPACK,,SONY ,,OTHER GAMES,BUNDLES/COMPILATIONS,01-Oct-03,2003,10,M,NO,No,Yes,Non violent
JAMPACK WINTER 2003 T,1,0,0,1,JAMPACK,,SONY ,,OTHER GAMES,BUNDLES/COMPILATIONS,01-Oct-03,2003,10,T,NO,No,Yes,Non violent
JEOPARDY! 2003,1,0,0,1,JEOPARDY,OTHER,ATARI,ARTECH STUDIOS,FAMILY ,QUIZ/GAME SHOW GAMES,01-Oct-03,2003,10,E,NO,No,No,Non violent
JET LI: RISE TO HONOR,1,0,0,1,,OTHER,SONY ,SONY COMPUTER ENTERTAINMENT,ACTION,GENERAL ACTION,01-Feb-04,2004,2,T,NO,No,Yes,Violent
JET SET RADIO FUTURE,1,0,1,0,,,SEGA OF AMERICA,SMILEBIT,SPORTS,EXTREME SPORTS,01-Feb-02,2002,2,T,NO,No,No,Non violent
JET X20,1,0,0,1,,,SONY ,KILLER GAME,RACING,ACTION ORIENTED RACING,01-Oct-02,2002,10,E,NO,No,Yes,Non violent
JIMMY NEUTRON BOY GENIUS,2,1,0,1,JIMMY NEUTRON,JIMMY NEUTRON,THQ ,BIGSKY INTERACTIVE,ACTION,PLATFORM/SCROLLING CHARACTER,01-Sep-02,2002,9,E,NO,No,Yes,Violent
JIMMY NEUTRON BOY GENIUS: ATTACK,2,1,0,1,JIMMY NEUTRON,JIMMY NEUTRON,THQ ,THQ,ACTION,PLATFORM/SCROLLING CHARACTER,01-Sep-04,2004,9,E,NO,No,Yes,Violent
JIMMY NEUTRON: JET FUSION,2,1,0,1,JIMMY NEUTRON,JIMMY NEUTRON,THQ ,KROME STUDIOS,ACTION,PLATFORM/SCROLLING CHARACTER,01-Sep-03,2003,9,E,NO,No,Yes,Violent
JONNY MOSELEY: MAD,1,0,0,1,,,THE 3DO COMPANY,THE 3DO COMPANY,SPORTS,EXTREME SPORTS,01-Dec-01,2001,12,T,NO,No,No,Non violent
JURASSIC PARK: GENESIS,2,0,1,1,JURASSIC PARK,JURASSIC PARK,VIVENDI UNIVERSAL ,BLUE TONGUE ENTERTAINMENT,STRATEGY,LIFE SIMULATIONS,01-Mar-03,2003,3,T,NO,Vivendi,Yes,Non violent
K-1 WORLD GRAND PRIX,1,0,0,1,,PRO RACING ALL OTHER,KONAMI DIGITAL ENT.,KONAMI,FIGHTING,FIGHT/HEAD TO HEAD,01-Jul-03,2003,7,T,NO,No,No,Violent
KABUKI WARRIORS,1,0,1,0,,,CRAVE ,LIGHTWEIGHT,FIGHTING,FIGHT/HEAD TO HEAD,01-Nov-01,2001,11,M,NO,No,No,Violent
KAKUTO CHOJIN,1,0,1,0,,,MICROSOFT ,DREAMFACTORY,FIGHTING,FIGHT/HEAD TO HEAD,01-Nov-02,2002,11,T,NO,No,No,Violent
KARAOKE REVOLUTION,4,0,2,2,KARAOKE REVOLUTION,,KONAMI DIGITAL ENT.,HARMONIX MUSIC SYSTEMS,FAMILY ,MUSIC/DANCE GAMES,01-Nov-03,2003,11,E,NO,No,No,Non violent
KARAOKE REVOLUTION 2,1,0,0,1,KARAOKE REVOLUTION,,KONAMI DIGITAL ENT.,HARMONIX MUSIC SYSTEMS,FAMILY ,MUSIC/DANCE GAMES,01-Jul-04,2004,7,E,NO,No,No,Non violent
KARAOKE REVOLUTION 3,2,0,0,2,KARAOKE REVOLUTION,,KONAMI DIGITAL ENT.,HARMONIX MUSIC SYSTEMS,FAMILY ,MUSIC/DANCE GAMES,01-Nov-04,2004,11,E,NO,No,No,Non violent
KATAMARI DAMACY,1,0,0,1,,,NAMCO,NAMCO,FAMILY ,PUZZLE GAMES,01-Sep-04,2004,9,E,NO,No,No,Non violent
KELLY SLATER PRO SURFER,3,1,1,1,,,ACTIVISION,TREYARCH INVENTION,SPORTS,EXTREME SPORTS,01-Sep-02,2002,9,E,NO,No,No,Non violent
KENGO: MASTER BUSHIDO,1,0,0,1,,,CRAVE ,LIGHTWEIGHT,FIGHTING,FIGHT/HEAD TO HEAD,01-Dec-00,2000,12,M,NO,No,No,Violent
KESSEN,1,0,0,1,KESSEN,,ELECTRONIC ARTS,KOEI,STRATEGY,OTHER STRATEGY,01-Oct-00,2000,10,T,NO,No,Yes,Non violent
KESSEN 2,1,0,0,1,KESSEN,,KOEI,KOEI,STRATEGY,OTHER STRATEGY,01-Sep-01,2001,9,T,NO,No,No,Non violent
KILL.SWITCH,2,0,1,1,,,NAMCO,NAMCO,ACTION,GENERAL ACTION,01-Oct-03,2003,10,T,NO,No,No,Violent
KILLZONE,1,0,0,1,,,SONY ,GUERRILLA,SHOOTER,1ST PERSON SHOOTER,01-Nov-04,2004,11,M,YES,No,Yes,Violent
KINETICA,1,0,0,1,,,SONY ,SONY COMPUTER ENTERTAINMENT,RACING,ACTION ORIENTED RACING,01-Oct-01,2001,10,T,NO,No,Yes,Non violent
KING ARTHUR,3,1,1,1,,OTHER,KONAMI DIGITAL ENT.,KROME STUDIOS,ACTION,GENERAL ACTION,01-Nov-04,2004,11,T,NO,No,No,Violent
KING FIGHTERS 2K/2K1,1,0,0,1,KING OF FIGHTERS,,SNK,SNK,FIGHTING,FIGHT/HEAD TO HEAD,01-Dec-03,2003,12,T,NO,No,No,Violent
KING OF ROUTE 66,1,0,0,1,,,SEGA OF AMERICA,AM2,RACING,ACTION ORIENTED RACING,01-Mar-03,2003,3,T,NO,No,No,Non violent
KINGDOM FIRE:CRUSADER,1,0,1,0,,,MICROSOFT ,PHANTAGRAM,STRATEGY,REAL-TIME STRATEGY,01-Oct-04,2004,10,M,YES,No,No,Non violent
KINGDOM HEARTS,1,0,0,1,KINGDOM HEARTS,,SQUARE ENIX INC ,SQUARE ENIX,RPG,RPG,01-Sep-02,2002,9,E,NO,No,No,Non violent
KINGS FIELD 4:ANCIENT,1,0,0,1,KINGS FIELD,,AGETEC,FROMSOFTWARE,RPG,RPG,01-Mar-02,2002,3,T,NO,No,No,Non violent
